avg_rtt,distance
325.510835647583,9547.400915477705 km
50.89536905288696,1526.9971593767361 km
109.76084470748901,7992.324781041701 km
29.58894968032837,879.5379547544615 km
121.76029682159424,7648.429662170453 km
52.47359275817871,744.8054866030648 km
15.730071067810059,6621.381362729874 km
27.231907844543457,594.5592752938464 km
22.889459133148193,492.65967371162816 km
40.25007486343384,851.2029267383475 km
11.439573764801025,33.987706504248294 km
28.622961044311523,798.7928672069983 km
296.03933095932007,9619.12433043845 km
46.29319906234741,1201.0132838015004 km
30.971574783325195,635.2345188109979 km
29.449903964996338,421.34119607457586 km
43.73520612716675,1536.901646700209 km
240.3209924697876,9819.839093677196 km
62.49421834945679,553.3722241180233 km
35.306715965270996,830.0292137729722 km
299.0696430206299,9634.511899366446 km
105.37246465682983,6144.250951347625 km
269.967520236969,9650.662227206049 km
12.76019811630249,186.28614729172196 km
20.582914352416992,189.5375571531551 km
76.55389308929443,2908.8792856824894 km
37.2641921043396,660.4364348973979 km
113.77931833267212,3716.2365818549038 km
39.2486572265625,703.8402018456255 km
56.469833850860596,1055.0965380123566 km
17.524147033691406,335.0550844387404 km
56.28138780593872,2689.028636849737 km
37.54094839096069,555.6244388204511 km
42.88790225982666,1637.1024069184214 km
32.27970600128174,506.06186587658226 km
47.944819927215576,1172.003824650672 km
35.45790910720825,1200.5294590826802 km
204.66847980723662,5883.673852610381 km
99.6105432510376,6489.73805527318 km
250.2169370651245,16577.068089477452 km
27.04951763153076,511.70720890763704 km
27.047085762023926,880.6565853891591 km
115.55469036102295,6123.683285712068 km
209.21039581298828,5884.052512837277 km
28.017449378967285,345.763905005822 km
112.81940937042236,6681.510925540634 km
37.94740438461304,1682.0465305758569 km
44.8259711265564,926.6174838855385 km
40.138256549835205,642.9465850522566 km
239.4821286201477,8742.18807422191 km
56.355953216552734,1540.0458642129245 km
43.452370166778564,531.2410027045545 km
326.0560393333435,16715.911929433274 km
23.60740900039673,605.118548465203 km
48.49052429199219,1692.8164139820608 km
26.907694339752197,606.0683422898534 km
177.69770622253418,8957.098373748226 km
69.75199194515453,1496.9192155266458 km
102.9674768447876,3716.2365818549038 km
32.31278657913208,699.9171305295573 km
26.756155490875244,606.3581130420023 km
65.53274393081665,2918.9739921376645 km
232.05578327178955,11844.91451866311 km
34.54538583755493,1182.8253243334966 km
247.1407175064087,11055.413459693329 km
34.2086114381489,633.0270013874002 km
53.8049578666687,744.8054866030648 km
31.45010471343994,737.5579412082743 km
51.75398588180542,1562.8588003404495 km
33.80333185195923,745.1483869980214 km
120.50278186798096,7284.659549936619 km
35.516178607940674,631.1829858178759 km
245.50833702087402,11316.782101146186 km
49.306368827819824,1699.4092190854653 km
180.5955410003662,9452.014581054003 km
114.32894468307495,7992.324781041701 km
54.300498962402344,1693.4504272063048 km
87.05737590789795,1271.3237455718677 km
41.09618663787842,959.332459619356 km
108.78208875656128,1526.9971593767361 km
27.608776092529297,345.1975281253656 km
76.2035608291626,2142.3580729418795 km
65.11378288269043,960.172749888812 km
74.78867769241333,2949.247140831649 km
38.93779516220093,908.9233621209231 km
290.1809842962968,16577.068089477452 km
36.465275287628174,633.5282592147018 km
31.378281116485596,666.409679401162 km
50.134479999542236,744.8054866030648 km
89.87977504730225,811.0582747467947 km
53.10896635055542,1621.138164874485 km
116.34628772735596,7276.665762313733 km
79.58822501333137,723.2103784131957 km
77.3178219795227,1489.1487606981304 km
238.18669319152832,11874.047420153216 km
271.30666971206665,9379.452287731609 km
60.105180740356445,644.652622110791 km
61.481380462646484,709.4741259282612 km
33.202385902404785,851.6624687661284 km
276.882529258728,9056.58137741376 km
57.85863399505615,1138.2427437655176 km
23.063290119171143,381.86780136745693 km
24.037256836891174,452.45835144263526 km
45.46477794647217,2142.616093771711 km
47.698259353637695,1976.2046922764798 km
119.39016580581665,7992.324781041701 km
45.0008749961853,657.9227188877484 km
27.28794813156128,601.9607051649522 km
21.44979238510132,598.108169286918 km
66.00114107131958,1149.1721523342555 km
188.3331060409546,8867.261126837755 km
10.909688472747803,33.987706504248294 km
231.69044256210327,9739.706700228511 km
287.69469261169434,9152.08826174053 km
27.889537811279297,605.5304993933905 km
59.182204698261465,953.6637625900695 km
57.37708806991577,1542.529056270525 km
35.58332920074463,847.096591217364 km
234.16504859924316,9739.5168376161 km
44.78210210800171,764.6261078367403 km
45.309650897979736,1595.1944017437374 km
305.66033124923706,18783.568879873532 km
60.575199127197266,1191.812832897001 km
21.06419801712036,494.0432113289473 km
62.403225898742676,2296.5067072155316 km
28.747642040252686,312.3331659934244 km
265.95736742019653,9723.060370748863 km
82.12981224060059,1678.7301501562547 km
71.26480340957642,2296.249213271632 km
64.80495929718018,2142.3580729418795 km
56.65757656097412,640.1369832784457 km
48.978471755981445,744.8054866030648 km
43.077969551086426,1201.0132838015004 km
61.14109754562378,1191.812832897001 km
33.7335467338562,926.2133533931137 km
224.81961250305176,9662.935105457087 km
30.565476417541504,691.5695832300667 km
34.08398628234863,461.6216568089808 km
32.74749517440796,335.0550844387404 km
88.1385087966919,1392.1077033477254 km
29.2006254196167,426.4327435613662 km
