server,ip
alcateia.ufscar.br,200.136.207.1
alpha-gnu-org.ip-connect.vn.ua,91.236.251.34
alpha.gnu.org,209.51.188.21
artfiles.org,212.72.164.211
atl.mirrors.clouvider.net,92.119.16.152
bits.debian.org,130.89.148.77
creativecommons.org,104.20.150.16
de.freedif.org,116.202.241.226
de.mirrors.clouvider.net,91.199.118.172
deb-mir1.naitways.net,149.62.156.14
deb.bbxnet.sk,91.221.4.48
deb.debian.org,151.101.242.132
debian-archive.trafficmanager.net,20.50.188.130
debian-mirror.sakura.ne.jp,153.127.75.11
debian.a1.bg,212.50.0.19
debian.anexia.at,144.208.213.156
debian.apt-mirror.de,46.105.185.24
debian.balt.net,195.14.170.170
debian.c3sl.ufpr.br,200.236.31.3
debian.carnet.hr,161.53.160.11
debian.cc.lehigh.edu,128.180.2.105
debian.charite.de,193.175.72.15
debian.cs.binghamton.edu,128.226.118.14
debian.cs.nycu.edu.tw,140.113.17.5
debian.csail.mit.edu,128.30.3.141
debian.csie.ntu.edu.tw,140.112.30.75
debian.dynamica.it,151.0.128.28
debian.ethz.ch,129.132.53.171
debian.gnu.gen.tr,139.179.10.9
debian.grena.ge,217.147.227.66
debian.grn.cat,80.64.47.13
debian.hostiran.ir,185.173.106.68
debian.inf.tu-dresden.de,141.76.2.4
debian.inhost.pro,109.196.112.157
debian.intergenia.de,85.25.128.62
debian.interhost.co.il,185.37.148.245
debian.iskon.hr,213.191.133.160
debian.koyanet.lv,89.111.47.130
debian.lagis.at,83.164.133.195
debian.lth.se,130.235.34.30
debian.ludost.net,185.117.82.66
debian.mirror.ac.ke,41.89.1.207
debian.mirror.constant.com,108.61.5.92
debian.mirror.digitalpacific.com.au,101.0.120.90
debian.mirror.garr.it,90.147.160.72
debian.mirror.iphh.net,62.201.161.86
debian.mirror.iweb.ca,192.175.120.168
debian.mirror.liquidtelecom.com,197.155.77.1
debian.mirror.lrz.de,129.187.10.100
debian.mirror.rafal.ca,207.210.46.249
debian.mirror.root.lu,195.24.74.198
debian.mirror.su.se,193.11.30.180
debian.mirror.uk.sargasso.net,78.158.65.70
debian.mirror.vu.lt,158.129.159.169
debian.mirror.web4u.cz,81.91.81.11
debian.mirrors.uk2.net,83.170.94.3
debian.mithril.re,165.169.21.12
debian.mnet.bg,84.43.191.5
debian.mur.at,89.106.208.14
debian.nautile.nc,103.2.186.81
debian.netcologne.de,194.8.197.22
debian.netforce.hosting,141.98.108.40
debian.obspm.fr,145.238.186.56
debian.osuosl.org,140.211.166.134
debian.otenet.gr,212.205.74.89
debian.parspack.com,185.204.197.108
debian.polytech-lille.fr,193.48.57.38
debian.proxad.net,212.27.32.66
debian.redimadrid.es,193.145.15.20
debian.redlibre.cl,190.97.171.43
debian.redparra.com,37.134.214.51
debian.repo.cure.edu.uy,164.73.233.2
debian.saix.net,196.43.2.109
debian.sil.at,213.129.232.18
debian.snt.utwente.nl,130.89.149.21
debian.superhosting.cz,95.168.211.41
debian.telecoms.bg,217.79.83.126
debian.tu-bs.de,134.169.192.5
debian.uchicago.edu,128.135.10.29
debian.uevora.pt,193.136.216.34
debian.univ-tlse2.fr,193.55.175.161
debian.unnoba.edu.ar,200.14.116.3
debian.uvigo.es,193.146.32.81
debian.volia.net,77.120.62.8
debianmirror.una.ac.cr,45.162.204.37
depot-debian.univ-reunion.fr,195.220.150.52
download.savannah.gnu.org,209.51.188.200
fastmirror.pp.ua,93.126.105.202
fosszone.csd.auth.gr,155.207.200.222
free.hands.com,78.129.164.123
ftp-gnu-org.ip-connect.vn.ua,91.236.251.38
ftp-stud.hs-esslingen.de,129.143.116.10
ftp.acc.umu.se,194.71.11.173
ftp.agh.edu.pl,149.156.96.11
ftp.am.debian.org,93.187.162.100
ftp.antik.sk,88.212.10.12
ftp.au.debian.org,103.84.224.37
ftp.be.debian.org,195.234.45.114
ftp.belnet.be,193.190.198.27
ftp.bg.debian.org,130.89.148.12
ftp.bme.hu,152.66.115.246
ftp.by.debian.org,82.209.230.71
ftp.ca.debian.org,64.50.236.52
ftp.caliu.cat,147.83.91.172
ftp.cc.uoc.gr,147.52.159.12
ftp.cica.es,150.214.5.134
ftp.cl.debian.org,138.204.231.113
ftp.cn.debian.org,45.125.0.6
ftp.cvut.cz,147.32.160.17
ftp.cz.debian.org,78.128.211.127
ftp.debian.sk,195.80.174.186
ftp.debianclub.org,124.109.2.168
ftp.dk.debian.org,130.225.254.116
ftp.ec-m.fr,147.94.19.20
ftp.eq.uc.pt,193.137.214.36
ftp.fau.de,131.188.12.211
ftp.fi.debian.org,194.71.11.163
ftp.funet.fi,193.166.3.2
ftp.gnu.org,209.51.188.20
ftp.gwdg.de,134.76.12.6
ftp.halifax.rwth-aachen.de,137.226.34.46
ftp.hosteurope.de,80.237.136.138
ftp.icm.edu.pl,193.219.28.2
ftp.is.co.za,196.4.160.12
ftp.it.debian.org,85.94.199.210
ftp.jaist.ac.jp,150.65.7.130
ftp.kaist.ac.kr,103.22.220.133
ftp.kddilabs.jp,192.26.91.193
ftp.klid.dk,192.38.78.162
ftp.linux.org.tr,193.140.98.183
ftp.lip6.fr,132.227.74.17
ftp.man.poznan.pl,150.254.173.17
ftp.md.debian.org,178.17.160.48
ftp.mirrorservice.org,212.219.56.184
ftp.nara.wide.ad.jp,203.178.137.175
ftp.nluug.nl,145.220.21.40
ftp.no.debian.org,129.240.118.47
ftp.nz.debian.org,163.7.134.112
ftp.pl.debian.org,153.19.251.221
ftp.plusline.net,82.98.66.54
ftp.psn.ru,217.26.17.81
ftp.rediris.es,130.206.13.2
ftp.rezopole.net,77.95.64.41
ftp.riken.jp,134.160.38.1
ftp.rnl.tecnico.ulisboa.pt,193.136.164.6
ftp.ru.debian.org,85.143.112.112
ftp.se.debian.org,194.71.11.165
ftp.sh.cvut.cz,147.32.127.196
ftp.snt.utwente.nl,130.89.149.20
ftp.sotirov-bg.net,46.10.161.161
ftp.task.gda.pl,153.19.251.222
ftp.ticklers.org,90.207.225.196
ftp.tku.edu.tw,163.13.240.201
ftp.tu-chemnitz.de,134.109.228.1
ftp.tu-clausthal.de,139.174.32.6
ftp.tu-graz.ac.at,129.27.3.13
ftp.tw.debian.org,140.110.240.80
ftp.twaren.net,140.110.96.68
ftp.u-picardie.fr,193.49.184.24
ftp.u-strasbg.fr,130.79.200.5
ftp.udc.es,193.144.61.75
ftp.uni-bayreuth.de,132.180.8.60
ftp.uni-hannover.de,130.75.2.22
ftp.uni-kl.de,131.246.123.4
ftp.uni-mainz.de,134.93.178.166
ftp.uni-sofia.bg,62.44.96.11
ftp.univ-pau.fr,194.167.156.234
ftp.us.debian.org,64.50.233.100
ftp.wayne.edu,141.217.0.199
ftp.wrz.de,217.243.224.144
ftp.zcu.cz,147.228.57.10
ftpmirror1.infania.net,194.132.225.213
giano.com.dist.unige.it,130.251.19.2
gnu.c3sl.ufpr.br,200.236.31.1
gnu.mirror.constant.com,108.61.5.83
gnu.mirror.net.in,103.195.68.3
gnu.mirrors.hoobly.com,69.64.41.166
gnualpha.uib.no,129.177.13.143
h-node.org,209.51.188.239
is.mirror.flokinet.net,185.165.170.20
kartolo.sby.datautama.net.id,123.255.202.74
kebo.pens.ac.id,202.9.85.18
la.mirrors.clouvider.net,77.247.126.176
linux.purple-cat.net,182.54.165.104
merlin.fit.vutbr.cz,147.229.176.19
micronews.debian.org,128.31.0.62
miroir.univ-lorraine.fr,194.214.218.193
mirror-hk.koddos.net,103.109.101.20
mirror-mk.interspace.com,185.232.120.23
mirror-prg.webglobe.com,62.109.128.228
mirror.0x626b.com,173.208.198.91
mirror.23m.com,212.83.32.30
mirror.aarnet.edu.au,202.158.214.106
mirror.alwyzon.net,46.102.157.26
mirror.amaze.com.au,122.252.2.42
mirror.applebred.net,103.246.16.176
mirror.asergo.com,82.103.189.20
mirror.bizflycloud.vn,103.107.181.186
mirror.cedia.org.ec,201.159.221.67
mirror.checkdomain.de,46.4.50.2
mirror.clarkson.edu,128.153.145.19
mirror.clientvps.com,65.109.156.214
mirror.cloudhosting.lv,91.220.43.19
mirror.coganng.com,116.15.69.197
mirror.cogentco.com,204.157.3.70
mirror.corbina.net,195.14.50.21
mirror.cov.ukservers.com,94.229.65.150
mirror.csclub.uwaterloo.ca,129.97.134.71
mirror.cyberbits.eu,62.210.124.230
mirror.dal.nexril.net,161.129.154.250
mirror.datacenter.by,178.124.134.106
mirror.de.leaseweb.net,37.58.58.140
mirror.dkm.cz,89.102.0.150
mirror.docker.ru,185.253.23.31
mirror.dogado.de,185.3.234.216
mirror.dst.ca,208.89.84.55
mirror.duocast.net,83.137.149.3
mirror.easyname.at,77.244.244.134
mirror.endianness.com,60.241.48.194
mirror.estone.ca,99.199.64.121
mirror.eu.oneandone.net,217.72.206.21
mirror.fcix.net,23.152.160.16
mirror.freedif.org,66.96.199.63
mirror.gitoyen.net,80.67.163.159
mirror.gsl.icu,103.1.215.35
mirror.hnd.cl,138.186.10.35
mirror.hostart.az,94.20.59.190
mirror.hoster.kz,194.146.42.42
mirror.hyperdedic.ru,45.157.140.21
mirror.i3d.net,109.200.199.214
mirror.ibcp.fr,194.254.245.145
